SMILES,Density,Tg,Tm
*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,1.7588,60.0,141.0
*N=P(*)(Oc1ccc(C)c(C)c1)Oc1ccc(C)c(C)c1,1.245,-1.5,109.0
*C(=O)OCCOC(=O)c1ccc(*)o1,1.433,88.95,211.0
*c1ccc(-c2nnc(-c3cccc(-c4nnc(*)n4-c4ccccc4)c3)n2-c2ccccc2)cc1,1.2315,272.5,253.0
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.236,180.0,282.0
*CCCCCCCCCC[N+](*)(C)C,1.733,65.9,206.5
*CC(*)c1ccc(C)cc1,1.016,103.0,205.0
*CCCS*,1.16,-53.5,61.0
*C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccc(*)cc5C4=O)c3)c1)C2=O,1.3745,242.0,340.0
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(c4ccc(*)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)cc1,1.43,199.7,255.0
*C(F)C(*)(F)F,2.04,31.45,197.6
*CCCCCCOC(=O)CCCCCCCCC(=O)O*,1.1115,-38.0,68.5
*CC(*)c1ccc(C(C)(C)C)cc1,0.9479,138.0,137.1
*OC(CC)CC(*)=O,1.24,-15.4,115.25
*CCC(=O)O*,1.422,-24.0,84.0
*O[Si](*)(CC)CC,1.02,-139.0,17.0
*CC1CCC(COC(=O)Nc2ccc(Cc3ccc(NC(=O)O*)cc3)cc2)CC1,1.18735,134.0,227.0
*CC(O*)c1ccccc1,1.151,34.0,149.0
*CCCCCCCNC(=O)CCCCC(=O)N*,1.1135,55.0,246.5
*c1ccc(C(F)(F)C(*)(F)F)cc1,1.597,76.95,500.0
*CCCCNC(=O)C(OC)C(OC)C(=O)N*,1.235,100.0,266.1
*CC/C=C(/*)C(C)(C)C,0.893,20.0,106.0
*Cc1ccc(CNC(=O)CCCCCCCCCCCC(=O)N*)cc1,1.108,100.0,247.0
*c1cc(CCCCCCCCCC)c(*)s1,1.02,-33.0,121.5
*CC(*)CC,0.9,-24.1,115.5
*Oc1ccc(C(*)=O)cc1CCCCC,1.155,50.0,275.0
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(OCC(C)(C)COc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,1.4,234.0,325.0
*CC(*)OC,1.05,-25.8,144.0
*CCCCCCNC(=O)C(=O)N*,1.278,250.0,332.0
*CC(*)C(=O)n1c2ccccc2c2ccccc21,1.3335,50.1,220.0
*CC(*)CCCC,0.854,-50.0,30.0
*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,1.046,10.5,131.0
*OC1CCC(OC(=O)CCCCC(*)=O)CC1,1.218,77.8,224.8
*CC(*)C[Si](C)(C)C,0.876,114.0,309.0
*CCCCCCNC(=O)CCCCCCCCCCC(=O)N*,1.06,46.0,217.0
*C(F)(F)C(*)(F)Cl,2.12,52.1,214.0
*CC(*)(F)C(=O)OCC(F)(F)C(F)F,1.6447,90.5,176.0
*CC(CCl)(CCl)CO*,1.41,6.5,179.0
*CCCCCC(=O)N*,1.14,51.6,220.5
*N=P(*)(Oc1ccc(C(C)C)cc1)Oc1ccc(C(C)C)cc1,1.195,0.0,370.0
*CCS*,1.41,-1.5,210.0
*[Si](*)(C)c1ccccc1,1.18,88.0,60.0
*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,1.37205,300.0,450.0
*CC(*)C(=O)OC(C)CC,1.413,-20.0,130.0
